ZONE,COUNTY,MODE,TRIPS
322,Hillsborough County,WALK,60.42564
323,Hillsborough County,AUTO,17887.64615
323,Hillsborough County,OTHER,98.47162
323,Hillsborough County,TNC,101.47136
323,Hillsborough County,WALK,197.17022
324,Hillsborough County,AUTO,581.25104
325,Hillsborough County,AUTO,10891.11733
326,Hillsborough County,AUTO,22136.13968
326,Hillsborough County,OTHER,106.94891
326,Hillsborough County,SHUTTLE_VANPOOL,768.95629
326,Hillsborough County,WALK,5245.77148
327,Hillsborough County,AUTO,6.09454
327,Hillsborough County,WALK,893.83632
328,Hillsborough County,AUTO,14011.73925
329,Hillsborough County,AUTO,492.16146
329,Hillsborough County,OTHER,113.04345
329,Hillsborough County,TNC,14.07205
329,Hillsborough County,TRANSIT,34.97682
329,Hillsborough County,WALK,42.21615
330,Hillsborough County,AUTO,17615.97026
330,Hillsborough County,TRANSIT,142.29493
331,Hillsborough County,AUTO,462.10418
332,Hillsborough County,AUTO,309.61558
332,Hillsborough County,WALK,45.45884
333,Hillsborough County,AUTO,10260.19053
333,Hillsborough County,WALK,26.70812
334,Hillsborough County,AUTO,863.31354
334,Hillsborough County,WALK,22.72942
335,Hillsborough County,AUTO,4787.22128
335,Hillsborough County,BIKE,2.30613
335,Hillsborough County,SCHOOL_BUS,3.39407
335,Hillsborough County,WALK,4.61226
337,Hillsborough County,AUTO,746.60146
339,Hillsborough County,AUTO,137.4781
340,Hillsborough County,AUTO,1891.73484
341,Hillsborough County,AUTO,299.48608
342,Hillsborough County,AUTO,378.23576
343,Hillsborough County,AUTO,121.22637
344,Hillsborough County,AUTO,1378.70882
345,Hillsborough County,AUTO,964.53508
346,Hillsborough County,AUTO,102.38449
347,Hillsborough County,AUTO,194.77269
347,Hillsborough County,BIKE,22.72942
348,Hillsborough County,AUTO,1188.05956
349,Hillsborough County,AUTO,158.48067
349,Hillsborough County,TNC,159.33628
350,Hillsborough County,AUTO,1411.93262
351,Hillsborough County,AUTO,3667.70178
351,Hillsborough County,WALK,1269.7334
352,Hillsborough County,AUTO,3150.24562
352,Hillsborough County,WALK,1269.7334
353,Hillsborough County,AUTO,1857.67333
354,Hillsborough County,AUTO,7264.58213
354,Hillsborough County,SCHOOL_BUS,80.97812
354,Hillsborough County,TRANSIT,806.88822
355,Hillsborough County,AUTO,531.6299
355,Hillsborough County,SCHOOL_BUS,18.28361
356,Hillsborough County,AUTO,1252.1405
358,Hillsborough County,AUTO,2311.52331
358,Hillsborough County,OTHER,18.28361
359,Hillsborough County,AUTO,2513.01086
359,Hillsborough County,WALK,116.36686
360,Hillsborough County,AUTO,390.72716
361,Hillsborough County,AUTO,1854.63615
361,Hillsborough County,TNC,39.62421
