ZONE,COUNTY,MODE,TRIPS
97,Hillsborough County,TRANSIT,0
97,Hillsborough County,WALK,0
106,Hillsborough County,BIKE,0
106,Hillsborough County,BIKE_SHARE,0
106,Hillsborough County,CAR,0
106,Hillsborough County,CAR_SHARE,0
106,Hillsborough County,LONG_DIST_PASS,0
106,Hillsborough County,MISSING,0
106,Hillsborough County,OTHER,0
106,Hillsborough County,SCHOOL_BUS,0
106,Hillsborough County,SHUTTLE_VANPOOL,0
106,Hillsborough County,TNC,0
106,Hillsborough County,TRANSIT,0
106,Hillsborough County,WALK,0
110,Hillsborough County,BIKE,0
110,Hillsborough County,BIKE_SHARE,0
110,Hillsborough County,CAR,0
110,Hillsborough County,CAR_SHARE,0
110,Hillsborough County,LONG_DIST_PASS,0
110,Hillsborough County,MISSING,0
110,Hillsborough County,OTHER,0
110,Hillsborough County,SCHOOL_BUS,0
110,Hillsborough County,SHUTTLE_VANPOOL,0
110,Hillsborough County,TNC,0
110,Hillsborough County,TRANSIT,0
110,Hillsborough County,WALK,0
111,Hillsborough County,BIKE,0
111,Hillsborough County,BIKE_SHARE,0
111,Hillsborough County,CAR,84.68921
111,Hillsborough County,CAR_SHARE,0
111,Hillsborough County,LONG_DIST_PASS,0
111,Hillsborough County,MISSING,0
111,Hillsborough County,OTHER,0
111,Hillsborough County,SCHOOL_BUS,0
111,Hillsborough County,SHUTTLE_VANPOOL,0
111,Hillsborough County,TNC,0
111,Hillsborough County,TRANSIT,0
111,Hillsborough County,WALK,0
113,Hillsborough County,BIKE,0
113,Hillsborough County,BIKE_SHARE,0
113,Hillsborough County,CAR,237.01816
113,Hillsborough County,CAR_SHARE,0
113,Hillsborough County,LONG_DIST_PASS,0
113,Hillsborough County,MISSING,0
113,Hillsborough County,OTHER,0
113,Hillsborough County,SCHOOL_BUS,0
113,Hillsborough County,SHUTTLE_VANPOOL,0
113,Hillsborough County,TNC,0
113,Hillsborough County,TRANSIT,0
113,Hillsborough County,WALK,0
114,Hillsborough County,BIKE,0
114,Hillsborough County,BIKE_SHARE,0
114,Hillsborough County,CAR,5997.63874
114,Hillsborough County,CAR_SHARE,0
114,Hillsborough County,LONG_DIST_PASS,0
114,Hillsborough County,MISSING,0
114,Hillsborough County,OTHER,0
114,Hillsborough County,SCHOOL_BUS,0
114,Hillsborough County,SHUTTLE_VANPOOL,0
114,Hillsborough County,TNC,0
114,Hillsborough County,TRANSIT,0
114,Hillsborough County,WALK,0
123,Hillsborough County,BIKE,0
123,Hillsborough County,BIKE_SHARE,0
123,Hillsborough County,CAR,0
123,Hillsborough County,CAR_SHARE,0
123,Hillsborough County,LONG_DIST_PASS,0
123,Hillsborough County,MISSING,0
123,Hillsborough County,OTHER,0
123,Hillsborough County,SCHOOL_BUS,0
123,Hillsborough County,SHUTTLE_VANPOOL,0
123,Hillsborough County,TNC,0
123,Hillsborough County,TRANSIT,0
123,Hillsborough County,WALK,0
128,Hillsborough County,BIKE,0
128,Hillsborough County,BIKE_SHARE,0
128,Hillsborough County,CAR,0
128,Hillsborough County,CAR_SHARE,0
128,Hillsborough County,LONG_DIST_PASS,0
128,Hillsborough County,MISSING,0
128,Hillsborough County,OTHER,0
128,Hillsborough County,SCHOOL_BUS,0
128,Hillsborough County,SHUTTLE_VANPOOL,0
128,Hillsborough County,TNC,0
128,Hillsborough County,TRANSIT,3522.98145
128,Hillsborough County,WALK,0
129,Hillsborough County,BIKE,0
129,Hillsborough County,BIKE_SHARE,0
